#,question,a,b,c,d,correct_answer,category
1,Η ελευθερία έκφρασης γνώμης ασκείται:,Από τους/τις Έλληνες/ίδες πολίτες,Από όσους/ες ευρίσκονται στην Ελληνική επικράτεια,Από τους/τις Έλληνες/ίδες πολίτες και τους/τις Έλληνες/ίδες ομογενείς,Από τους/τις κατόχους της κοινής Ευρωπαϊκής ιθαγένειας,1,Συνταγματικό Δίκαιο
2,Τα βασανιστήρια:,Επιτρέπονται για την αποτροπή τρομοκρατικής επίθεσης,Δεν επιτρέπονται σε καμία περίπτωση,Επιτρέπονται με νόμο που ψηφίζει η Βουλή με τα 3/5 των μελών της,Επιτρέπονται για την προστασία της εδαφικής ακεραιότητας της χώρας,1,Συνταγματικό Δίκαιο
3,Το δικαίωμα επιλογής επαγγέλματος:,Αποτελεί έκφραση της ελευθερίας συμμετοχής στην κοινωνική ζωή της Χώρας,Δεν αποτελεί έκφραση της ελευθερίας συμμετοχής στην οικονομική ζωή της Χώρας,Δεν αποτελεί δικαίωμα,Είναι ειδική μορφή της οικονομικής ελευθερίας,3,Συνταγματικό Δίκαιο
4,Η ελευθερία ανάπτυξης της προσωπικότητας (άρ. 5 παρ. 1 Συντ.) ασκείται:,Μόνο από τους/τις Έλληνες/ίδες πολίτες,"Από τους/τις Έλληνες/ίδες πολίτες, τους/τις Ευρωπαίους/ες πολίτες, τους/τις αλλοδαπούς/ές και τους/τις ανιθαγενείς",Μόνο από τους/τις Έλληνες/ίδες και Ευρωπαίους/ες πολίτες,Μόνο από τους/τις Έλληνες/ίδες πολίτες και τους/τις ομογενείς,1,Συνταγματικό Δίκαιο
5,Κατοικία κατά την έννοια του άρ. 9 Συντ. αποτελεί:,Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο διαβιώσεως και εργασίας,Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο διαβιώσεως μόνο,Κάθε χώρος που ο άνθρωπος ορίζει ως χώρο εργασίας μόνο,Κάθε χώρος που ο άνθρωπος διαμένει έστω και για λίγες ώρες όπως το δωμάτιο ξενοδοχείου,3,Συνταγματικό Δίκαιο
6,Η ευθανασία:,Είναι συλλογικό δικαίωμα,Είναι κοινωνικό δικαίωμα,Δεν αναγνωρίζεται στο ελληνικό δίκαιο,Κατοχυρώνεται στο Σύνταγμα,2,Συνταγματικό Δίκαιο
7,Η αξία του ανθρώπου είναι:,Υποκειμενικό συνταγματικό δικαίωμα,Αντικειμενική συνταγματική αρχή,Νομοθετικός κανόνας,Πολιτικό δικαίωμα,1,Συνταγματικό Δίκαιο
8,Το δικαίωμα στο εκλέγειν και το εκλέγεσθαι είναι:,Ατομικό δικαίωμα,Πολιτικό δικαίωμα,Συλλογικό δικαίωμα,Κοινωνικό δικαίωμα,1,Συνταγματικό Δίκαιο
9,H ελεύθερη ανάπτυξη της προσωπικότητας:,Εμπεριέχει τη σεξουαλική ελευθερία,Δεν εξαρτάται από τα χρηστά ήθη,Είναι συλλογικό δικαίωμα,Δεν περιορίζεται,0,Συνταγματικό Δίκαιο
10,"Σύμφωνα με το άρθρο 120 του Συντάγματος, το δικαίωμα αντίστασης ασκείται σε περιπτώσεις:",Κατάλυσης του Συντάγματος,Αναθεώρησης του Συντάγματος,Αντισυνταγματικότητας ενός νόμου,Περιορισμού των ατομικών δικαιωμάτων,0,Συνταγματικό Δίκαιο
11,Ένας νόμος που παραβιάζει συνταγματικά δικαιώματα:,Μπορεί να κηρυχθεί ανίσχυρος έναντι πάντων από το Ανώτατο Ειδικό Δικαστήριο αν έχουν εκδοθεί αντίθετες αποφάσεις ως προς τη συνταγματικότητά του από ανώτατα δικαστήρια,Δεσμεύει κάθε δικαστήριο γιατί έχει θεσπιστεί με έγκυρο τρόπο,Μπορεί να ακυρωθεί από κάθε δικαστήριο,Μπορεί να ακυρωθεί μόνο από τα ανώτατα δικαστήρια,0,Συνταγματικό Δίκαιο
12,"Η λαϊκή κυριαρχία, στο πολίτευμά μας, είναι:",Άγραφη αρχή,Θεμελιώδης συνταγματική αρχή,Κατώτερη από την εθνική κυριαρχία,Πάνω από το Σύνταγμα,1,Συνταγματικό Δίκαιο
13,Η αίτηση θεραπείας:,Είναι συνταγματικά κατοχυρωμένη στο δικαίωμα αναφοράς,"Μπορεί να ασκηθεί, εφόσον προβλέπεται στον νόμο",Δεν δημιουργεί υποχρέωση της διοίκησης να απαντήσει,Καμία από τις λοιπές απαντήσεις,0,Συνταγματικό Δίκαιο
14,Απαγορεύεται η μεταβολή του προορισμού των δασών:,Εκτός εάν εξυπηρετείται υπέρτερο δημόσιο συμφέρον,Χωρίς αποζημίωση,Χωρίς νόμο ψηφισμένο από τα 3/5 των μελών της Βουλής,Χωρίς να ιδρυθεί κέντρο περίθαλψης της άγριας ζωής,0,Συνταγματικό Δίκαιο
15,Δικαίωμα του εκλέγεσθαι στο βουλευτικό αξίωμα έχουν Έλληνες/ίδες πολίτες με:,Ικανότητα εκλέγειν άνω των 25 ετών,Ικανότητα εκλέγειν άνω των 35 ετών,Ικανότητα εκλέγειν άνω των 21 ετών,Ικανότητα εκλέγειν που δεν έχουν καταδικαστεί ποινικά για οποιοδήποτε αδίκημα,0,Συνταγματικό Δίκαιο
16,Οι δημόσιοι υπάλληλοι μπορούν να εκφράζουν τις πεποιθήσεις τους υπέρ ή κατά πολιτικού κόμματος;,Απαγορεύεται απολύτως,Μόνο κατά την άσκηση των καθηκόντων τους,Μόνο εκτός της άσκησης των καθηκόντων τους,Μπορούν άνευ περιορισμού,2,Συνταγματικό Δίκαιο
17,ΔΕΝ επιτρέπεται η αναγκαστική απαλλοτρίωση ακινήτων:,Που συνιστούν την πρώτη κατοικία,Που ανήκουν σε άτομα της τρίτης ηλικίας,Χωρίς αποζημίωση,Που ανήκουν σε ευάλωτες πληθυσμιακές ομάδες,2,Συνταγματικό Δίκαιο
18,H αναδρομική κατάργηση του επιδόματος τέκνων των δημοσίων υπαλλήλων σε ποια θεμελιώδη αρχή του διοικητικού δικαίου είναι δυνατόν να προσκρούσει;,Στην αρχή της υπεροχής και της προστασίας του δημόσιου συμφέροντος,Στην αρχή της αξιοκρατίας,Στην αρχή της αμεροληψίας των οργάνων της δημόσιας διοίκησης,Στην αρχή της δικαιολογημένης εμπιστοσύνης του/της διοικούμενου/ης,3,Συνταγματικό Δίκαιο
19,Στους αποδέκτες των θεμελιωδών δικαιωμάτων:,Συγκαταλέγεται μόνο η νομοθετική εξουσία,"Συγκαταλέγονται μόνο οι τρεις συντεταγμένες εξουσίες του κράτους (νομοθετική, εκτελεστική, δικαστική)",Μπορούν να συγκαταλέγονται και οι ιδιώτες,Συγκαταλέγονται μόνον οι ιδιώτες,2,Συνταγματικό Δίκαιο
20,Χαρακτηριστικό γνώρισμα του κοινοβουλευτικού συστήματος είναι:,Ότι η Κυβέρνηση οφείλει να απολαμβάνει την εμπιστοσύνη της Βουλής,Η απόλυτη διάκριση των λειτουργιών,Ότι η Κυβέρνηση δεν απαιτείται να έχει την εμπιστοσύνη της Βουλής καθώς είναι ανεξάρτητη από αυτήν,Ότι ο/η ΠτΔ εκλέγεται πάντα με αυξημένη πλειοψηφία από τη Βουλή,0,Συνταγματικό Δίκαιο
21,Ποια είναι η ευθύνη του/της βουλευτή για την άποψη που εξέφρασε κατά την άσκηση των βουλευτικών του καθηκόντων;,O/Η βουλευτής δεν καταδιώκεται ούτε εξετάζεται με οποιονδήποτε τρόπο για γνώμη ή ψήφο που έδωσε κατά την άσκηση των βουλευτικών καθηκόντων,Ο/Η βουλευτής φέρει ποινική ευθύνη,"O/Η βουλευτής δεν καταδιώκεται ούτε εξετάζεται με οποιονδήποτε τρόπο για γνώμη ή ψήφο που έδωσε κατά την άσκηση των βουλευτικών καθηκόντων παρά μόνο για συκοφαντική δυσφήμηση, κατά τον νόμο, ύστερα από άδεια της Bουλής",Ο/Η βουλευτής δεν έχει καμία ευθύνη,2,Συνταγματικό Δίκαιο
22,Η αποκέντρωση στο Σύνταγμα του 1975:,Αποτελεί τη γενική αρχή που κατοχυρώνει την αυτονομία των οργανισμών τοπικής αυτοδιοίκησης,Είναι κατευθυντήρια αρχή με πολιτική και όχι νομική σημασία,Ταυτίζεται απολύτως με την αρχή της επικουρικότητας στο Ευρωπαϊκό Δίκαιο,Κατοχυρώνει τη συγκρότηση και λειτουργία περιφερειακών κρατικών οργάνων με γενική αποφασιστική αρμοδιότητα,3,Συνταγματικό Δίκαιο
23,"Η κατανομή της εξουσίας σε εκτελεστική, νομοθετική και δικαστική ονομάζεται:",Νομοθετική εξουσιοδότηση,Αρχή της διάκρισης των λειτουργιών,Διασταύρωση των λειτουργιών,Λειτουργική διάχυση,1,Συνταγματικό Δίκαιο
24,Τα κωλύματα κατά το Σύνταγμα είναι ιδιότητες που ΔΕΝ επιτρέπουν:,Να ανακηρυχθεί κάποιος/α υποψήφιος/α βουλευτής,Να εκλεγεί κάποιος/α βουλευτής,Να αναλάβει κάποιος/α υπουργικά καθήκοντα,Να δώσει όρκο,0,Συνταγματικό Δίκαιο
25,Σε ποιες από τις παρακάτω περιπτώσεις ΔΕΝ απαιτείται να δοθεί ψήφος εμπιστοσύνης προς την Κυβέρνηση;,Κατά τον διορισμό νέου/ας πρωθυπουργού μετά από παραίτηση του/της προηγούμενου/ης,Κατά τον διορισμό νέου/ας πρωθυπουργού μετά τον θάνατο του/της προηγούμενου/ης,Κατά τη μεταβολή της σύνθεσης της Κυβέρνησης από τον/την πρωθυπουργό,Σε καμία από τις λοιπές περιπτώσεις,2,Συνταγματικό Δίκαιο
26,Το ισχύον εκλογικό σύστημα είναι:,Η ενισχυμένη αναλογική,Το πλειοψηφικό,Η καθαρή αναλογική,Το πλειοψηφικό δύο γύρων,0,Συνταγματικό Δίκαιο
27,Πώς γίνεται η νομοθέτηση όταν η χώρα έχει κηρυχθεί σε «κατάσταση πολιορκίας»;,Με δημοψήφισμα,Με πράξεις νομοθετικού περιεχομένου,Με την κανονική νομοπαραγωγική διαδικασία,Με υπουργικές αποφάσεις,1,Συνταγματικό Δίκαιο
28,Τι σημαίνει σχετικώς αυστηρό Σύνταγμα;,Ότι οι διατάξεις του είναι πολύ αυστηρές,"Ότι τροποποιείται δυσκολότερα απ’ ό,τι ο νόμος",Ότι δεν επιτρέπεται καμία τροποποίησή του,Ότι επιτρέπεται η τροποποίησή του μόνο με δημοψήφισμα,1,Συνταγματικό Δίκαιο
29,Κάθε διερευνητική εντολή διαρκεί το μέγιστο:,Τρεις (3) ημέρες,Επτά (7) ημέρες,Μία (1) ημέρα,Όσο προσδιορίσει ο/η Πρόεδρος της Δημοκρατίας,0,Συνταγματικό Δίκαιο
30,"Σε περίπτωση που συντρέχει ασυμβίβαστη ιδιότητα στο πρόσωπό του/της, ο/η εκλεγείς/είσα βουλευτής οφείλει:","Να παραιτηθεί από την ασυμβίβαστη ιδιότητα εντός 8 ημερών αφότου η εκλογή του/της γίνει οριστική, άλλως εκπίπτει από το βουλευτικό αξίωμα",Να θέσει σε αναστολή την ασυμβίβαστη ιδιότητα αμέσως,Να υποβάλει αίτηση στο Ανώτατο Ειδικό Δικαστήριο για τη διαπίστωση της ασυμβίβαστης ιδιότητας,Να δηλώσει τη συνδρομή της ασυμβίβαστης ιδιότητας στον/στην Πρόεδρο της Βουλής,0,Συνταγματικό Δίκαιο
31,Οι υπουργοί διώκονται για πράξεις σχετικές με τα καθήκοντά τους:,Από το Μεικτό Ορκωτό Δικαστήριο,Από το Ανώτατο Ειδικό Δικαστήριο,Από το Συμβούλιο της Επικρατείας,Από το Ειδικό Δικαστήριο,3,Συνταγματικό Δίκαιο
32,Η θητεία του/της Προέδρου της Δημοκρατίας είναι:,Πενταετής με δυνατότητα επανεκλογής για μία συνεχόμενη φορά,Εξαετής χωρίς δυνατότητα επανεκλογής,Πενταετής με δυνατότητα επανεκλογής μία φορά,Πενταετής με δυνατότητα επανεκλογής αλλά όχι για δεύτερη συνεχόμενη θητεία,2,Συνταγματικό Δίκαιο
33,Ο/Η Πρόεδρος της Δημοκρατίας πριν τη συνταγματική αναθεώρηση του 1986 μπορούσε:,Να διορίζει πρωθυπουργό της αρεσκείας του/της,Να διενεργήσει δημοψήφισμα για κρίσιμο εθνικό θέμα,Να προτείνει υπουργούς,Να επιλέγει τους προέδρους των ανεξαρτήτων αρχών από λίστα υποψηφίων που ετοίμαζε η Βουλή,1,Συνταγματικό Δίκαιο
34,Τα κανονιστικά διατάγματα:,Είναι πράξεις του/της Προέδρου της Δημοκρατίας,Είναι πράξεις της Κυβερνήσεως,"Εκδίδονται, όταν συνεδριάζει το Τμήμα διακοπής των εργασιών της Βουλής",Δεν υπόκεινται σε δικαστικό έλεγχο,0,Συνταγματικό Δίκαιο
35,Ο τυπικός νόμος είναι:,Ο νόμος που αφορά διαδικαστικά ζητήματα,Ο Κανονισμός της Βουλής,Ο αφηρημένος κανόνας δικαίου,Ο νόμος που ψηφίζεται από τη Βουλή και εκδίδεται και δημοσιεύεται από τον/την Πρόεδρο της Δημοκρατίας,3,Συνταγματικό Δίκαιο
36,Ο λαός υπό τη στενή συνταγματική του έννοια είναι:,Όργανο του Κράτους,Μόνον όσοι/ες κατοικούν στην Ελλάδα,Μόνον όσοι/ες είναι ορθόδοξοι στο θρήσκευμα,Μόνον όσοι/ες έχουν ελληνική συνείδηση,0,Συνταγματικό Δίκαιο
37,Το Σύνταγμα προβλέπει:,Δύο είδη δημοψηφισμάτων,Ένα είδος δημοψηφίσματος,Δημοψήφισμα για την εκκίνηση της διαδικασίας αναθεώρησης του Συντάγματος,Δημοψήφισμα μετά από λαϊκή πρωτοβουλία,0,Συνταγματικό Δίκαιο
38,Οι βουλευτικές εκλογές διεξάγονται ταυτόχρονα:,Σε όλη την επικράτεια,Στην Ελλάδα και στο εξωτερικό,Με τις δημοτικές εκλογές,Με τις ευρωεκλογές,0,Συνταγματικό Δίκαιο
39,Οι διατάξεις του Συντάγματος:,Είναι όλες θεμελιώδεις,Είναι ισόκυρες,Δεν ισχύουν σε περίπτωση έκτακτης ανάγκης,Είναι όλες αμετάβλητες,1,Συνταγματικό Δίκαιο
40,Δημοψήφισμα μπορεί να προκηρυχθεί:,Για την αναθεώρηση του Συντάγματος,Για ψηφισμένο νομοσχέδιο,Με απόφαση του λαού,Για την εκλογή του/της ΠτΔ,1,Συνταγματικό Δίκαιο
41,Η υπηρεσιακή Κυβέρνηση:,Διενεργεί εκλογές,Επιλέγεται από τον/την Πρωθυπουργό,Έχει ως Πρωθυπουργό τον/την Πρόεδρο του Συμβουλίου της Επικρατείας,"Δεν προβλέπεται συνταγματικά, αλλά μόνον εθιμικά",0,Συνταγματικό Δίκαιο
42,Ο/Η Πρόεδρος της Δημοκρατίας:,Έχει πενταετή θητεία,Εκλέγεται άμεσα από τον λαό,Έχει μόνον εκτελεστικές αρμοδιότητες,Διορίζει την ηγεσία των ανωτάτων δικαστηρίων,0,Συνταγματικό Δίκαιο
43,Στην Προεδρευόμενη Κοινοβουλευτική Δημοκρατία:,Ο/Η Πρόεδρος της Δημοκρατίας έχει ισχυρό εκτελεστικό ρόλο,Η Κυβέρνηση εξαρτάται από την εμπιστοσύνη της Βουλής,Ο/Η Πρωθυπουργός διορίζει την Κυβέρνησή του/της,Ο/Η Πρόεδρος της Δημοκρατίας είναι και Πρόεδρος της Κυβέρνησης,1,Συνταγματικό Δίκαιο
44,Ο/Η Πρόεδρος της Δημοκρατίας:,Είναι εγγυητής του πολιτεύματος,Είναι ρυθμιστής του πολιτεύματος,Εκλέγεται άμεσα από τον λαό,Διαλύει τη Βουλή όταν κρίνει ότι η σύνθεσή της δεν ανταποκρίνεται στο λαϊκό αίσθημα,1,Συνταγματικό Δίκαιο
45,Η ψήφος εμπιστοσύνης στην Κυβέρνηση:,Δίνεται μόνο μετά από τη διενέργεια εκλογών,Προϋποθέτει την απόλυτη πλειοψηφία του συνόλου των βουλευτών,Δίνεται κάθε δύο χρόνια,Είναι έκφανση της κοινοβουλευτικής αρχής,3,Συνταγματικό Δίκαιο
46,Το εκλογικό σύστημα της απλής αναλογικής:,Είναι αντισυνταγματικό,Είναι συνταγματικό,Διευκολύνει τον σχηματισμό ισχυρών μονοκομματικών Κυβερνήσεων,Δεν έχει εφαρμοστεί ποτέ στην Ελλάδα,1,Συνταγματικό Δίκαιο
47,Στην αναθεώρηση του 2008:,Καταργήθηκε το γενικό επαγγελματικό ασυμβίβαστο των βουλευτών,Κατοχυρώθηκαν συνταγματικά οι ανεξάρτητες αρχές,Καταργήθηκαν οι «υπερεξουσίες» του/της Προέδρου της Δημοκρατίας,Κατοχυρώθηκε η λαϊκή νομοθετική πρωτοβουλία,0,Συνταγματικό Δίκαιο
