#,question,a,b,c,d,correct_answer,category
1,Τα δεδομένα προσωπικού χαρακτήρα είναι:,Οι πληροφορίες για την οικογενειακή και ερωτική ζωή,Οι πληροφορίες υγείας,Τα ηλεκτρονικά δεδομένα,"Κάθε πληροφορία, η οποία δυνητικά ταυτοποιεί ένα φυσικό  πρόσωπο",3,Συνταγματικό Δίκαιο
2,Το άρθρο 4 παρ.1 Συντ. σύμφωνα με το οποίο «οι Έλληνες είναι ίσοι ενώπιον του νόμου»:,Αναθεωρείται,Δεν αναθεωρείται,Αναθεωρείται μερικώς,Είναι δυνατή η κατάργησή του,1,Συνταγματικό Δίκαιο
3,Το δικαίωμα επιλογής επαγγελματικής έδρας:,Αποτελεί έκφραση του δικαιώματος συμμετοχής στην οικονομική ζωή της Χώρας,Δεν αποτελεί έκφραση συμμετοχής στην οικονομική ζωή της Χώρας,Δεν αποτελεί δικαίωμα,Αποτελεί έκφραση του δικαιώματος εργασίας,0,Συνταγματικό Δίκαιο
4,Το άρ. 2 παρ. 1 Συντ. σύμφωνα με το οποίο «ο σεβασμός και η προστασία της αξίας του ανθρώπου αποτελούν πρωταρχική υποχρέωση της Πολιτείας»:,Υπόκειται σε αναθεώρηση,Δεν υπόκειται σε αναθεώρηση,Υπόκειται σε μερική αναθεώρηση,Δεν υπόκειται σε αναθεώρηση αλλά ανανοηματοδοτείται από την Ευρωπαϊκή Σύμβαση Δικαιωμάτων του Ανθρώπου,3,Συνταγματικό Δίκαιο
5,Τα κοινωνικά δικαιώματα προϋποθέτουν για να εκπληρωθούν:,Την παροχή του Κράτους,Την αποχή του Κράτους,Την αναθεώρηση του Συντάγματος,Τη συναίνεση Κυβέρνησης και αντιπολίτευσης,0,Συνταγματικό Δίκαιο
6,Το Σύνταγμα κατοχυρώνει:,Την απόλυτη επαγγελματική ελευθερία,Την απαγόρευση των ιδιωτικοποιήσεων,Την απόλυτη ελευθερία της έκφρασης,Την αρχή της αειφορίας,3,Συνταγματικό Δίκαιο
7,Η αρχή της ισότητας:,Απαγορεύει τα θετικά μέτρα διάκρισης,Απαγορεύει την επεκτατική ισότητα,Προϋποθέτει την όμοια ρύθμιση των όμοιων περιπτώσεων και την ανόμοια των ανόμοιων,Δεν εφαρμόζεται σε περιόδους έκτακτης ανάγκης,2,Συνταγματικό Δίκαιο
8,Η ελευθερία της συνάθροισης:,Υπάγεται σε προηγούμενο έλεγχο σκοπιμότητας από την εκτελεστική εξουσία,Είναι απεριόριστη,Είναι δικαίωμα συλλογικής δράσης,Είναι ανώτερη από την ελευθερία της συνένωσης,2,Συνταγματικό Δίκαιο
9,Το δικαίωμα στην κοινωνική ασφάλιση:,Απαγορεύει κάθε μείωση στις συντάξεις,Προϋποθέτει την κατοχύρωση δημόσιων οργανισμών ασφάλισης,"Δεν κατοχυρώνεται στο Σύνταγμα, αλλά μόνο στη νομοθεσία","Δεν κατοχυρώνεται στο Σύνταγμα, αλλά στη νομολογία",1,Συνταγματικό Δίκαιο
10,Η αρχή της ίσης ευκαιρίας συμμετοχής στις διαδικασίες πλήρωσης θέσεων στη δημόσια διοίκηση:,Δεν έρχεται σε αντίθεση με την αξιοκρατική αρχή,"Συνάδει με την αρχή της αντικειμενικότητας, αλλά εν τοις πράγμασι αναιρεί την αρχή της αξιοκρατίας","Συνάδει με την αρχή της κοινωνικής αλληλεγγύης, αλλά όχι με τις αρχές της διαφάνειας και της αξιοκρατίας","Συνάδει με τις αρχές της κοινωνικής αλληλεγγύης και της διαφάνειας, αλλά όχι με την αξιοκρατική αρχή",0,Συνταγματικό Δίκαιο
11,Ποιοι από τους παρακάτω ΔΕΝ είναι φορείς ατομικών δικαιωμάτων;,Τα ανήλικα άτομα,Οι τελούντες υπό δικαστική συμπαράσταση,Οι ανιθαγενείς,Καμία από τις λοιπές απαντήσεις,3,Συνταγματικό Δίκαιο
12,To Kράτος Δικαίου:,Είναι το Κράτος που έχει δίκαιο,Σέβεται τα θεμελιώδη δικαιώματα και τη διάκριση των εξουσιών,Είναι η βούληση της πλειοψηφίας,Δεν έχει συνταγματική κατοχύρωση,1,Συνταγματικό Δίκαιο
13,Η αρχή της χρηστής διοίκησης:,Δεν είναι δεσμευτική,Είναι κανόνας δεοντολογίας,Απορρέει από την αρχή του κράτους δικαίου,Ισχύει μόνο στο ευρωπαϊκό δίκαιο,2,Συνταγματικό Δίκαιο
14,Οι Έλληνες/ίδες έχουν το δικαίωμα να συστήνουν σωματεία:,Εφόσον αυτά υπηρετούν το δημόσιο συμφέρον,Εφόσον δεν μετέχουν και σε συνδικαλιστική οργάνωση,Μετά από διοικητική άδεια,Μετά από έλεγχο νομιμότητας του καταστατικού,3,Συνταγματικό Δίκαιο
15,Τι σημαίνει αρχή της καθολικής ψηφοφορίας;,Ότι ψηφίζουν όλοι οι πολίτες ανεξαιρέτως,Ότι ψηφίζουν όλοι/ες όσοι/ες πληρούν κάποια οικονομικά και μορφωτικά κριτήρια,"Ότι ψηφίζουν όλοι/ες όσοι/ες έχουν συμπληρώσει ένα κατώτατο όριο ηλικίας, δεν είναι ανίκανοι/ες για δικαιοπραξία και δεν έχουν καταδικαστεί αμετάκλητα για ορισμένο έγκλημα",Ότι η ψηφοφορία είναι υποχρεωτική για όλους/ες,1,Συνταγματικό Δίκαιο
16,Οι στρατιωτικοί μπορούν να εκφράζουν τις πεποιθήσεις τους υπέρ ή κατά πολιτικού κόμματος;,Απαγορεύεται απολύτως,Μόνο κατά την άσκηση των καθηκόντων τους,Μόνο εκτός της ώρας άσκησης των καθηκόντων τους,Μπορούν άνευ περιορισμού,0,Συνταγματικό Δίκαιο
17,Η θρησκευτική λατρεία μπορεί να περιοριστεί:,Για λόγους δημοσίας αιδούς,Για λόγους δημόσιας τάξης και χρηστών ηθών,Για λόγους δημοσίου συμφέροντος,Καμία από τις λοιπές απαντήσεις,1,Συνταγματικό Δίκαιο
18,Από ποια κατηγορία δικαιωμάτων ΔΕΝ προκύπτουν (καταρχήν) αγώγιμες αξιώσεις των φορέων τους απέναντι στο κράτος;,Τα ατομικά,Τα κοινωνικά,Τα πολιτικά,Τα δικαιώματα που προβλέπονται από το φυσικό δίκαιο,1,Συνταγματικό Δίκαιο
