#,question,a,b,c,d,correct_answer,category
ο»Ώ1,"Ξ— ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ± Ξ­ΞΊΟ†ΟΞ±ΟƒΞ·Ο‚ Ξ³Ξ½ΟΞΌΞ·Ο‚ Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ:","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","Ξ‘Ο€Ο ΟΟƒΞΏΟ…Ο‚/ΞµΟ‚ ΞµΟ…ΟΞ―ΟƒΞΊΞΏΞ½Ο„Ξ±ΞΉ ΟƒΟ„Ξ·Ξ½ Ξ•Ξ»Ξ»Ξ·Ξ½ΞΉΞΊΞ® ΞµΟ€ΞΉΞΊΟΞ¬Ο„ΞµΞΉΞ±","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ ΞΏΞΌΞΏΞ³ΞµΞ½ΞµΞ―Ο‚","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΊΞ±Ο„ΟΟ‡ΞΏΟ…Ο‚ Ο„Ξ·Ο‚ ΞΊΞΏΞΉΞ½Ξ®Ο‚ Ξ•Ο…ΟΟ‰Ο€Ξ±ΟΞΊΞ®Ο‚ ΞΉΞΈΞ±Ξ³Ξ­Ξ½ΞµΞΉΞ±Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
2,"Ξ¤Ξ± Ξ²Ξ±ΟƒΞ±Ξ½ΞΉΟƒΟ„Ξ®ΟΞΉΞ±:","Ξ•Ο€ΞΉΟ„ΟΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ξ±Ο€ΞΏΟ„ΟΞΏΟ€Ξ® Ο„ΟΞΏΞΌΞΏΞΊΟΞ±Ο„ΞΉΞΊΞ®Ο‚ ΞµΟ€Ξ―ΞΈΞµΟƒΞ·Ο‚","Ξ”ΞµΞ½ ΞµΟ€ΞΉΟ„ΟΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ ΟƒΞµ ΞΊΞ±ΞΌΞ―Ξ± Ο€ΞµΟΞ―Ο€Ο„Ο‰ΟƒΞ·","Ξ•Ο€ΞΉΟ„ΟΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ ΞΌΞµ Ξ½ΟΞΌΞΏ Ο€ΞΏΟ… ΟΞ·Ο†Ξ―Ξ¶ΞµΞΉ Ξ· Ξ’ΞΏΟ…Ξ»Ξ® ΞΌΞµ Ο„Ξ± 3/5 Ο„Ο‰Ξ½ ΞΌΞµΞ»ΟΞ½ Ο„Ξ·Ο‚","Ξ•Ο€ΞΉΟ„ΟΞ­Ο€ΞΏΞ½Ο„Ξ±ΞΉ Ξ³ΞΉΞ± Ο„Ξ·Ξ½ Ο€ΟΞΏΟƒΟ„Ξ±ΟƒΞ―Ξ± Ο„Ξ·Ο‚ ΞµΞ΄Ξ±Ο†ΞΉΞΊΞ®Ο‚ Ξ±ΞΊΞµΟΞ±ΞΉΟΟ„Ξ·Ο„Ξ±Ο‚ Ο„Ξ·Ο‚ Ο‡ΟΟΞ±Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
3,"Ξ¤ΞΏ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ± ΞµΟ€ΞΉΞ»ΞΏΞ³Ξ®Ο‚ ΞµΟ€Ξ±Ξ³Ξ³Ξ­Ξ»ΞΌΞ±Ο„ΞΏΟ‚:","Ξ‘Ο€ΞΏΟ„ΞµΞ»ΞµΞ― Ξ­ΞΊΟ†ΟΞ±ΟƒΞ· Ο„Ξ·Ο‚ ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ±Ο‚ ΟƒΟ…ΞΌΞΌΞµΟ„ΞΏΟ‡Ξ®Ο‚ ΟƒΟ„Ξ·Ξ½ ΞΊΞΏΞΉΞ½Ο‰Ξ½ΞΉΞΊΞ® Ξ¶Ο‰Ξ® Ο„Ξ·Ο‚ Ξ§ΟΟΞ±Ο‚","Ξ”ΞµΞ½ Ξ±Ο€ΞΏΟ„ΞµΞ»ΞµΞ― Ξ­ΞΊΟ†ΟΞ±ΟƒΞ· Ο„Ξ·Ο‚ ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ±Ο‚ ΟƒΟ…ΞΌΞΌΞµΟ„ΞΏΟ‡Ξ®Ο‚ ΟƒΟ„Ξ·Ξ½ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ® Ξ¶Ο‰Ξ® Ο„Ξ·Ο‚ Ξ§ΟΟΞ±Ο‚","Ξ”ΞµΞ½ Ξ±Ο€ΞΏΟ„ΞµΞ»ΞµΞ― Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ•Ξ―Ξ½Ξ±ΞΉ ΞµΞΉΞ΄ΞΉΞΊΞ® ΞΌΞΏΟΟ†Ξ® Ο„Ξ·Ο‚ ΞΏΞΉΞΊΞΏΞ½ΞΏΞΌΞΉΞΊΞ®Ο‚ ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ±Ο‚",3,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
4,"Ξ— ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ± Ξ±Ξ½Ξ¬Ο€Ο„Ο…ΞΎΞ·Ο‚ Ο„Ξ·Ο‚ Ο€ΟΞΏΟƒΟ‰Ο€ΞΉΞΊΟΟ„Ξ·Ο„Ξ±Ο‚ (Ξ¬Ο. 5 Ο€Ξ±Ο. 1 Ξ£Ο…Ξ½Ο„.) Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ:","ΞΟΞ½ΞΏ Ξ±Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","Ξ‘Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚, Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ Ξ•Ο…ΟΟ‰Ο€Ξ±Ξ―ΞΏΟ…Ο‚/ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚, Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ Ξ±Ξ»Ξ»ΞΏΞ΄Ξ±Ο€ΞΏΟΟ‚/Ξ­Ο‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ Ξ±Ξ½ΞΉΞΈΞ±Ξ³ΞµΞ½ΞµΞ―Ο‚","ΞΟΞ½ΞΏ Ξ±Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ ΞΊΞ±ΞΉ Ξ•Ο…ΟΟ‰Ο€Ξ±Ξ―ΞΏΟ…Ο‚/ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚","ΞΟΞ½ΞΏ Ξ±Ο€Ο Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΞ»Ξ»Ξ·Ξ½ΞµΟ‚/Ξ―Ξ΄ΞµΟ‚ Ο€ΞΏΞ»Ξ―Ο„ΞµΟ‚ ΞΊΞ±ΞΉ Ο„ΞΏΟ…Ο‚/Ο„ΞΉΟ‚ ΞΏΞΌΞΏΞ³ΞµΞ½ΞµΞ―Ο‚",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
5,"ΞΞ±Ο„ΞΏΞΉΞΊΞ―Ξ± ΞΊΞ±Ο„Ξ¬ Ο„Ξ·Ξ½ Ξ­Ξ½Ξ½ΞΏΞΉΞ± Ο„ΞΏΟ… Ξ¬Ο. 9 Ξ£Ο…Ξ½Ο„. Ξ±Ο€ΞΏΟ„ΞµΞ»ΞµΞ―:","ΞΞ¬ΞΈΞµ Ο‡ΟΟΞΏΟ‚ Ο€ΞΏΟ… ΞΏ Ξ¬Ξ½ΞΈΟΟ‰Ο€ΞΏΟ‚ ΞΏΟΞ―Ξ¶ΞµΞΉ Ο‰Ο‚ Ο‡ΟΟΞΏ Ξ΄ΞΉΞ±Ξ²ΞΉΟΟƒΞµΟ‰Ο‚ ΞΊΞ±ΞΉ ΞµΟΞ³Ξ±ΟƒΞ―Ξ±Ο‚","ΞΞ¬ΞΈΞµ Ο‡ΟΟΞΏΟ‚ Ο€ΞΏΟ… ΞΏ Ξ¬Ξ½ΞΈΟΟ‰Ο€ΞΏΟ‚ ΞΏΟΞ―Ξ¶ΞµΞΉ Ο‰Ο‚ Ο‡ΟΟΞΏ Ξ΄ΞΉΞ±Ξ²ΞΉΟΟƒΞµΟ‰Ο‚ ΞΌΟΞ½ΞΏ","ΞΞ¬ΞΈΞµ Ο‡ΟΟΞΏΟ‚ Ο€ΞΏΟ… ΞΏ Ξ¬Ξ½ΞΈΟΟ‰Ο€ΞΏΟ‚ ΞΏΟΞ―Ξ¶ΞµΞΉ Ο‰Ο‚ Ο‡ΟΟΞΏ ΞµΟΞ³Ξ±ΟƒΞ―Ξ±Ο‚ ΞΌΟΞ½ΞΏ","ΞΞ¬ΞΈΞµ Ο‡ΟΟΞΏΟ‚ Ο€ΞΏΟ… ΞΏ Ξ¬Ξ½ΞΈΟΟ‰Ο€ΞΏΟ‚ Ξ΄ΞΉΞ±ΞΌΞ­Ξ½ΞµΞΉ Ξ­ΟƒΟ„Ο‰ ΞΊΞ±ΞΉ Ξ³ΞΉΞ± Ξ»Ξ―Ξ³ΞµΟ‚ ΟΟΞµΟ‚ ΟΟ€Ο‰Ο‚ Ο„ΞΏ Ξ΄Ο‰ΞΌΞ¬Ο„ΞΉΞΏ ΞΎΞµΞ½ΞΏΞ΄ΞΏΟ‡ΞµΞ―ΞΏΟ…",3,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
6,"Ξ— ΞµΟ…ΞΈΞ±Ξ½Ξ±ΟƒΞ―Ξ±:","Ξ•Ξ―Ξ½Ξ±ΞΉ ΟƒΟ…Ξ»Ξ»ΞΏΞ³ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ•Ξ―Ξ½Ξ±ΞΉ ΞΊΞΏΞΉΞ½Ο‰Ξ½ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ”ΞµΞ½ Ξ±Ξ½Ξ±Ξ³Ξ½Ο‰ΟΞ―Ξ¶ΞµΟ„Ξ±ΞΉ ΟƒΟ„ΞΏ ΞµΞ»Ξ»Ξ·Ξ½ΞΉΞΊΟ Ξ΄Ξ―ΞΊΞ±ΞΉΞΏ","ΞΞ±Ο„ΞΏΟ‡Ο…ΟΟΞ½ΞµΟ„Ξ±ΞΉ ΟƒΟ„ΞΏ Ξ£ΟΞ½Ο„Ξ±Ξ³ΞΌΞ±",2,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
7,"Ξ— Ξ±ΞΎΞ―Ξ± Ο„ΞΏΟ… Ξ±Ξ½ΞΈΟΟΟ€ΞΏΟ… ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ¥Ο€ΞΏΞΊΞµΞΉΞΌΞµΞ½ΞΉΞΊΟ ΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ‘Ξ½Ο„ΞΉΞΊΞµΞΉΞΌΞµΞ½ΞΉΞΊΞ® ΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΞ® Ξ±ΟΟ‡Ξ®","ΞΞΏΞΌΞΏΞΈΞµΟ„ΞΉΞΊΟΟ‚ ΞΊΞ±Ξ½ΟΞ½Ξ±Ο‚","Ξ ΞΏΞ»ΞΉΟ„ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
8,"Ξ¤ΞΏ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ± ΟƒΟ„ΞΏ ΞµΞΊΞ»Ξ­Ξ³ΞµΞΉΞ½ ΞΊΞ±ΞΉ Ο„ΞΏ ΞµΞΊΞ»Ξ­Ξ³ΞµΟƒΞΈΞ±ΞΉ ΞµΞ―Ξ½Ξ±ΞΉ:","Ξ‘Ο„ΞΏΞΌΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ ΞΏΞ»ΞΉΟ„ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ£Ο…Ξ»Ξ»ΞΏΞ³ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","ΞΞΏΞΉΞ½Ο‰Ξ½ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±",1,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
9,"H ΞµΞ»ΞµΟΞΈΞµΟΞ· Ξ±Ξ½Ξ¬Ο€Ο„Ο…ΞΎΞ· Ο„Ξ·Ο‚ Ο€ΟΞΏΟƒΟ‰Ο€ΞΉΞΊΟΟ„Ξ·Ο„Ξ±Ο‚:","Ξ•ΞΌΟ€ΞµΟΞΉΞ­Ο‡ΞµΞΉ Ο„Ξ· ΟƒΞµΞΎΞΏΟ…Ξ±Ξ»ΞΉΞΊΞ® ΞµΞ»ΞµΟ…ΞΈΞµΟΞ―Ξ±","Ξ”ΞµΞ½ ΞµΞΎΞ±ΟΟ„Ξ¬Ο„Ξ±ΞΉ Ξ±Ο€Ο Ο„Ξ± Ο‡ΟΞ·ΟƒΟ„Ξ¬ Ξ®ΞΈΞ·","Ξ•Ξ―Ξ½Ξ±ΞΉ ΟƒΟ…Ξ»Ξ»ΞΏΞ³ΞΉΞΊΟ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ±","Ξ”ΞµΞ½ Ο€ΞµΟΞΉΞΏΟΞ―Ξ¶ΞµΟ„Ξ±ΞΉ",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
10,"Ξ£ΟΞΌΟ†Ο‰Ξ½Ξ± ΞΌΞµ Ο„ΞΏ Ξ¬ΟΞΈΟΞΏ 120 Ο„ΞΏΟ… Ξ£Ο…Ξ½Ο„Ξ¬Ξ³ΞΌΞ±Ο„ΞΏΟ‚, Ο„ΞΏ Ξ΄ΞΉΞΊΞ±Ξ―Ο‰ΞΌΞ± Ξ±Ξ½Ο„Ξ―ΟƒΟ„Ξ±ΟƒΞ·Ο‚ Ξ±ΟƒΞΊΞµΞ―Ο„Ξ±ΞΉ ΟƒΞµ Ο€ΞµΟΞΉΟ€Ο„ΟΟƒΞµΞΉΟ‚:","ΞΞ±Ο„Ξ¬Ξ»Ο…ΟƒΞ·Ο‚ Ο„ΞΏΟ… Ξ£Ο…Ξ½Ο„Ξ¬Ξ³ΞΌΞ±Ο„ΞΏΟ‚","Ξ‘Ξ½Ξ±ΞΈΞµΟΟΞ·ΟƒΞ·Ο‚ Ο„ΞΏΟ… Ξ£Ο…Ξ½Ο„Ξ¬Ξ³ΞΌΞ±Ο„ΞΏΟ‚","Ξ‘Ξ½Ο„ΞΉΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟΟ„Ξ·Ο„Ξ±Ο‚ ΞµΞ½ΟΟ‚ Ξ½ΟΞΌΞΏΟ…","Ξ ΞµΟΞΉΞΏΟΞΉΟƒΞΌΞΏΟ Ο„Ο‰Ξ½ Ξ±Ο„ΞΏΞΌΞΉΞΊΟΞ½ Ξ΄ΞΉΞΊΞ±ΞΉΟ‰ΞΌΞ¬Ο„Ο‰Ξ½",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
11,"ΞΞ½Ξ±Ο‚ Ξ½ΟΞΌΞΏΟ‚ Ο€ΞΏΟ… Ο€Ξ±ΟΞ±Ξ²ΞΉΞ¬Ξ¶ΞµΞΉ ΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΞ¬ Ξ΄ΞΉΞΊΞ±ΞΉΟΞΌΞ±Ο„Ξ±:","ΞΟ€ΞΏΟΞµΞ― Ξ½Ξ± ΞΊΞ·ΟΟ…Ο‡ΞΈΞµΞ― Ξ±Ξ½Ξ―ΟƒΟ‡Ο…ΟΞΏΟ‚ Ξ­Ξ½Ξ±Ξ½Ο„ΞΉ Ο€Ξ¬Ξ½Ο„Ο‰Ξ½ Ξ±Ο€Ο Ο„ΞΏ Ξ‘Ξ½ΟΟ„Ξ±Ο„ΞΏ Ξ•ΞΉΞ΄ΞΉΞΊΟ Ξ”ΞΉΞΊΞ±ΟƒΟ„Ξ®ΟΞΉΞΏ Ξ±Ξ½ Ξ­Ο‡ΞΏΟ…Ξ½ ΞµΞΊΞ΄ΞΏΞΈΞµΞ― Ξ±Ξ½Ο„Ξ―ΞΈΞµΟ„ΞµΟ‚ Ξ±Ο€ΞΏΟ†Ξ¬ΟƒΞµΞΉΟ‚ Ο‰Ο‚ Ο€ΟΞΏΟ‚ Ο„Ξ· ΟƒΟ…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟΟ„Ξ·Ο„Ξ¬ Ο„ΞΏΟ… Ξ±Ο€Ο Ξ±Ξ½ΟΟ„Ξ±Ο„Ξ± Ξ΄ΞΉΞΊΞ±ΟƒΟ„Ξ®ΟΞΉΞ±","Ξ”ΞµΟƒΞΌΞµΟΞµΞΉ ΞΊΞ¬ΞΈΞµ Ξ΄ΞΉΞΊΞ±ΟƒΟ„Ξ®ΟΞΉΞΏ Ξ³ΞΉΞ±Ο„Ξ― Ξ­Ο‡ΞµΞΉ ΞΈΞµΟƒΟ€ΞΉΟƒΟ„ΞµΞ― ΞΌΞµ Ξ­Ξ³ΞΊΟ…ΟΞΏ Ο„ΟΟΟ€ΞΏ","ΞΟ€ΞΏΟΞµΞ― Ξ½Ξ± Ξ±ΞΊΟ…ΟΟ‰ΞΈΞµΞ― Ξ±Ο€Ο ΞΊΞ¬ΞΈΞµ Ξ΄ΞΉΞΊΞ±ΟƒΟ„Ξ®ΟΞΉΞΏ","ΞΟ€ΞΏΟΞµΞ― Ξ½Ξ± Ξ±ΞΊΟ…ΟΟ‰ΞΈΞµΞ― ΞΌΟΞ½ΞΏ Ξ±Ο€Ο Ο„Ξ± Ξ±Ξ½ΟΟ„Ξ±Ο„Ξ± Ξ΄ΞΉΞΊΞ±ΟƒΟ„Ξ®ΟΞΉΞ±",0,"Ξ£Ο…Ξ½Ο„Ξ±Ξ³ΞΌΞ±Ο„ΞΉΞΊΟ Ξ”Ξ―ΞΊΞ±ΞΉΞΏ"
